Name,Category
Dance Party,ScratchJr
Sound Farm,ScratchJr
My World,ScratchJr
"Bump, You're It!",ScratchJr
Seasons,ScratchJr
Ocean of Code,ScratchJr
"Repeat, Repeat, Repeat",ScratchJr
Dribble Dribble,ScratchJr
Close and Far,ScratchJr
Catch me If You Can,ScratchJr
Custom Characters,ScratchJr
Stage of Code,ScratchJr
My House,ScratchJr
Safari Adventure,ScratchJr
Where Am I?,ScratchJr
Say It!,ScratchJr
School Story,ScratchJr
Hot Potato,ScratchJr
Enter The Castle,ScratchJr
Space Station,ScratchJr
Turn The Page,ScratchJr
One Of These Things,ScratchJr
Choose Your Story,ScratchJr
Flying Fish,ScratchJr
Keep Away,ScratchJr
Super Wheelie,ScratchJr
Crossy Road,ScratchJr
Underwater Treasure,ScratchJr
My Story,ScratchJr
My Game,ScratchJr
Donut Detective Level 1,CodeSpark: Puzzles
Donut Detective Level 2,CodeSpark: Puzzles
Donut Detective Level 3,CodeSpark: Puzzles
Tool Trouble Level 1,CodeSpark: Puzzles
Tool Trouble Level 2,CodeSpark: Puzzles
Tool Trouble Level 3,CodeSpark: Puzzles
Kite Plight Level 1,CodeSpark: Puzzles
Kite Plight Level 2,CodeSpark: Puzzles
Kite Plight Level 3,CodeSpark: Puzzles
Puppy Problems Level 1,CodeSpark: Puzzles
Puppy Problems Level 2,CodeSpark: Puzzles
Puppy Problems Level 3,CodeSpark: Puzzles
Lunch C. Level 1,CodeSpark: Puzzles
Lunch C. Level 2,CodeSpark: Puzzles
Lunch C. Level 3,CodeSpark: Puzzles
Crocodile Catch Variables 1,CodeSpark: Explore
Crocodile Catch Variables 2,CodeSpark: Explore
Crocodile Catch Variables 3,CodeSpark: Explore
Crocodile Catch Variables 4,CodeSpark: Explore
Crocodile Catch Inequalities 5,CodeSpark: Explore
Crocodile Catch Inequalities 6,CodeSpark: Explore
Crocodile Catch Inequalities 7,CodeSpark: Explore
Crocodile Catch Inequalities 8,CodeSpark: Explore
Crocodile Catch Variables and Inequalities 9,CodeSpark: Explore
Crocodile Catch Variables and Inequalities 10,CodeSpark: Explore
Crocodile Catch Variables and Inequalities 11,CodeSpark: Explore
Crocodile Catch Variables and Inequalities 12,CodeSpark: Explore
Pet Stacks and Queues 1,CodeSpark: Explore
Pet Stacks and Queues 2,CodeSpark: Explore
Pet Stacks and Queues 3,CodeSpark: Explore
Pet Stacks and Queues 4,CodeSpark: Explore
Pet Stacks and Queues 5,CodeSpark: Explore
Pet Stacks and Queues 6,CodeSpark: Explore
Pet Stacks and Queues 7,CodeSpark: Explore
Sorter Boolean Logic 1,CodeSpark: Explore
Sorter Boolean Logic 2,CodeSpark: Explore
Sorter Boolean Logic 3,CodeSpark: Explore
Sorter Boolean Logic 4,CodeSpark: Explore
Sorter Boolean Logic 5,CodeSpark: Explore
Sorter Boolean Logic 6,CodeSpark: Explore
Create: Platformer Game,CodeSpark: Explore
Create: Story,CodeSpark: Explore
Create: Adventure Game,CodeSpark: Explore
1: Lights On,Snap Circuits
2: Take Off,Snap Circuits
3: Loud Music,Snap Circuits
4: Loud Noises,Snap Circuits
5: Alarm,Snap Circuits
6: Double The Noise,Snap Circuits
7: Space War,Snap Circuits
8: UFO Launcher,Snap Circuits
9: Spin The Motor,Snap Circuits
10: Block The Light,Snap Circuits
11: Siren,Snap Circuits
12: Lazer Blaster,Snap Circuits
13: Space Blaster,Snap Circuits
14: Block Light Block Sound,Snap Circuits
15: Lights and Sound,Snap Circuits
16: Stacked,Snap Circuits
17: Wacky Sounds,Snap Circuits
18: Screecher,Snap Circuits
19: Space Spinner,Snap Circuits
20: Lights in the Dark,Snap Circuits
21: DJ,Snap Circuits
22: Police Siren & Generator,Snap Circuits
"Learn: J, F, Space Keys",Learn Keyboard Typing
"Learn: U, R, K Keys",Learn Keyboard Typing
"Learn: D, E, I Keys",Learn Keyboard Typing
"Learn: C, G, N Keys",Learn Keyboard Typing
Quiz: Beginner Review 1,Learn Keyboard Typing
"Learn: T, S, L, O, B, A Keys",Learn Keyboard Typing
"Learn: V, H, M Keys",Learn Keyboard Typing
Learn: Period and Comma Keys,Learn Keyboard Typing
Quiz: Beginner Review 2,Learn Keyboard Typing
"Learn: W, X, Semicolon Keys",Learn Keyboard Typing
"Learn: Q, Y, P, Z ENTER Keys",Learn Keyboard Typing
Quiz: All The Keys!!!,Learn Keyboard Typing
1: Animate A Name,Scratch Projects
2: Animate A Character,Scratch Projects
